open_time,actual_range,predicted_range,baseline_range,model_error,baseline_error,hour_of_day,date,model_wins
2026-07-20 11:00:00-03:00,0.019339545341946325,0.007532797848036906,0.007724942914036441,0.01180674749390942,0.011614602427909883,11,2026-07-20,0
2026-07-20 12:00:00-03:00,0.004605509208728594,0.009690284756819103,0.019339545341946325,0.0050847755480905085,0.014734036133217731,12,2026-07-20,1
2026-07-20 13:00:00-03:00,0.0046354530205078145,0.0071295113203268465,0.004605509208728594,0.002494058299819032,2.994381177922039e-05,13,2026-07-20,0
2026-07-20 14:00:00-03:00,0.009120170275878253,0.005670340371501933,0.0046354530205078145,0.00344982990437632,0.004484717255370438,14,2026-07-20,1
2026-07-20 15:00:00-03:00,0.003584937521107716,0.005644608468789656,0.009120170275878253,0.0020596709476819403,0.005535232754770537,15,2026-07-20,1
2026-07-20 16:00:00-03:00,0.005753310739054463,0.004663017663464888,0.003584937521107716,0.0010902930755895745,0.002168373217946747,16,2026-07-20,1
2026-07-20 17:00:00-03:00,0.002649112321443352,0.004492178339390208,0.005753310739054463,0.0018430660179468562,0.003104198417611111,17,2026-07-20,1
2026-07-20 18:00:00-03:00,0.0029682851260760274,0.003947848707668583,0.002649112321443352,0.0009795635815925555,0.00031917280463267554,18,2026-07-20,0
2026-07-20 19:00:00-03:00,0.0022073231823642307,0.005159026752717757,0.0029682851260760274,0.002951703570353526,0.0007609619437117967,19,2026-07-20,0
2026-07-20 20:00:00-03:00,0.006653396984291578,0.0038488956765936146,0.0022073231823642307,0.002804501307697963,0.0044460738019273475,20,2026-07-20,1
2026-07-20 21:00:00-03:00,0.006532174558197139,0.004833854118114819,0.006653396984291578,0.0016983204400823192,0.00012122242609443907,21,2026-07-20,0
2026-07-20 22:00:00-03:00,0.004950009944352944,0.005389773578087059,0.006532174558197139,0.0004397636337341148,0.0015821646138441947,22,2026-07-20,1
2026-07-20 23:00:00-03:00,0.0027661873894066877,0.004366841887089302,0.004950009944352944,0.0016006544976826143,0.0021838225549462562,23,2026-07-20,1
2026-07-21 00:00:00-03:00,0.004134335927728704,0.004556850916462439,0.0027661873894066877,0.0004225149887337352,0.0013681485383220163,0,2026-07-21,1
2026-07-21 01:00:00-03:00,0.0068088118365557,0.004845916732110925,0.004134335927728704,0.001962895104444775,0.0026744759088269962,1,2026-07-21,1
2026-07-21 02:00:00-03:00,0.005416989061338475,0.00443188250216313,0.0068088118365557,0.0009851065591753444,0.0013918227752172255,2,2026-07-21,1
2026-07-21 03:00:00-03:00,0.005735881714285878,0.005199535749425899,0.005416989061338475,0.0005363459648599789,0.00031889265294740305,3,2026-07-21,0
2026-07-21 04:00:00-03:00,0.0033945656749781155,0.006337888094898904,0.005735881714285878,0.002943322419920788,0.0023413160393077623,4,2026-07-21,0
2026-07-21 05:00:00-03:00,0.0031074644161383598,0.00486435072902695,0.0033945656749781155,0.00175688631288859,0.00028710125883975573,5,2026-07-21,0
2026-07-21 06:00:00-03:00,0.003688425506195093,0.003700604235519439,0.0031074644161383598,1.2178729324345983e-05,0.0005809610900567334,6,2026-07-21,1
2026-07-21 07:00:00-03:00,0.003047376622922383,0.004019489537897952,0.003688425506195093,0.0009721129149755691,0.0006410488832727101,7,2026-07-21,0
